ID,Glottocode,Conditioning,Marking_1,Alignments_1,Condition_1,Marking_2,Alignments_2,Condition_2,Marking_3,Alignments_3,Condition_3,Marking_4,Alignments_4,Condition_4,Source,Coder
agua1253-1,agua1253,Co-argument_reference,ACC case,incalculable from references.csv: see raw data,1sgPro;3plPro;3sgPro;Noun,NO_FLAGGING,incalculable from references.csv: see raw data,1plPro;2plPro;2sgPro,,,,,,,overall2017aguaruna[233-272],AWM
awac1239-1,awac1239,Reference,ACC marking,accusative,Noun-high,NO_FLAGGING,no marking,Noun-low,,,,,,,"curnow1997awacuaiquer[64-65,85-86]",HT;AWM
basq1248-1,basq1248,Predicate_class,DAT marking,accusative;tripartite,bivalent 3,NO_FLAGGING,accusative;ergative,bivalent 1,,,,,,,"hualde2003basque[171-179,363-364];zuniga2019basque[186-187]",DI; NCP
bora1263-1,bora1263,Reference,ACC -ke,accusative,Noun-animate,NO_FLAGGING,no marking,Noun-inanimate,,,,,,,seifart2005mirana[65],MV
brah1256-1,brah1256,Reference,ACC -e,accusative,Noun-def,NO_FLAGGING,no marking,Noun-indef,,,,,,,"andronov1980brahui[49,98]",AWM
cacu1241-1,cacu1241,Reference,ACC marking,accusative,Noun-high,NO_FLAGGING,no marking,Noun-low,,,,,,,"bolanos2016kakua[192-193,198,202-205]",AN
cahu1264-1,cahu1264,Miscellaneous_condition,ACC marking,accusative,default,NO_FLAGGING,accusative;no marking,OV order,,,,,,,"seiler1977cahuilla[105-107,117-118,207,79-80]",HT
cent2050-1,cent2050,Miscellaneous_condition,NO_FLAGGING,no marking,default,P marker -ga,accusative,unknown conditions + non-standard word order,,,,,,,cyffer1998kanuri[52],AN
coma1245-1,coma1245,Reference,-hta ACC case,accusative,Noun-du-pi-class;Noun-pl-pi-class;Noun-sg-pi-class,-i/-a ACC case,accusative,Noun-du-hpu-class;Noun-du-invariant-class;Noun-du-pi2-class;Noun-du-pu-class;Noun-pl-hpu-class;Noun-pl-invariant-class;Noun-pl-pi2-class;Noun-pl-pu-class;Noun-sg-hpu-class;Noun-sg-pi2-class;Noun-sg-pu-class,NO_FLAGGING,no marking,Noun-sg-invariant-class,,,,robinson1990comanche[283-287],DI; HT
cree1270-1,cree1270,Miscellaneous_condition,ACC marking,accusative,default,NO_FLAGGING,no marking,unknown conditions,,,,,,,"martin2011creek[142,337-343]",HT
cube1242-1,cube1242,Reference,ACC marking,accusative,Noun-high,NO_FLAGGING,no marking,Noun-low,,,,,,,"chacon2012cubeo[311-314];morse1999cubeo[110-111,83]",HT;AWM
galo1242-1,galo1242,Reference,ACC marking,accusative,Noun-def,NO_FLAGGING,no marking,Noun-indef,,,,,,,post2007galo,HT
guan1269-1,guan1269,Reference,ACC marking,accusative,Noun-high,NO_FLAGGING,no marking,Noun-low,,,,,,,"stenzel2013kotiria[142,145-146,161,323-324,327-329,422]",HT
halh1238-1,halh1238,Reference,NO_FLAGGING,no marking,Noun-low,accusative,accusative,Noun-high,,,,,,,"janhunen2012mongolian[104,205-208]",DI
hatt1246-1,hatt1246,Miscellaneous_condition,-š case,accusative,condition 2,NO_FLAGGING,no marking,condition 1,,,,,,,girbal1986betraege[137-139];soysal2004hattischer[184-185],DI
hupd1244-1,hupd1244,Reference,ACC marking,accusative,Noun-high,NO_FLAGGING,no marking,Noun-low,,,,,,,"epps2008hup[159,166,170-172,176]",HT
imon1245-1,imon1245,Reference,DOM -m '-DAT',accusative;ergative,Noun-high,NO_FLAGGING,horizontal;no marking,Noun-low,,,,,,,"seiler1985imonda[138-139,160]",AWM
juru1256-1,juru1256,Miscellaneous_condition,NO_FLAGGING,no marking,P before the verb,postposition be,accusative,P after the verb,,,,,,,fargetti2001juruna[114-118];oliveiradelima2008estrutura[135],NCP; MV
kala1399-1,kala1399,Reference,NO_FLAGGING,ergative,Noun-def,instrumental,tripartite,Noun-indef,,,,,,,"fortescue1984kalaallisut[206,210-211]",DI
kamb1316-1,kamb1316,Miscellaneous_condition+Reference,ACC case,accusative,unknown 1+Noun-F1a;unknown 1+Noun-F1b;unknown 1+Noun-F2a;unknown 1+Noun-F2b;unknown 1+Noun-F3a;unknown 1+Noun-F3b;unknown 1+Noun-F4;unknown 1+Noun-F5;unknown 1+Noun-F6;unknown 1+Noun-M1;unknown 1+Noun-M2;unknown 1+Noun-M3;unknown 1+Noun-M4a;unknown 1+Noun-M4b;unknown 1+Noun-M5a;unknown 1+Noun-M5b;unknown 1+Noun-M5c;unknown 1+Noun-M6;unknown 1+Noun-M7;unknown 2+Noun-F1a;unknown 2+Noun-F1b;unknown 2+Noun-F2a;unknown 2+Noun-F2b;unknown 2+Noun-F3a;unknown 2+Noun-F3b;unknown 2+Noun-F4;unknown 2+Noun-F5;unknown 2+Noun-F6;unknown 2+Noun-M1;unknown 2+Noun-M2;unknown 2+Noun-M3;unknown 2+Noun-M4a;unknown 2+Noun-M4b;unknown 2+Noun-M5a;unknown 2+Noun-M5b;unknown 2+Noun-M5c;unknown 2+Noun-M6;unknown 2+Noun-M7,NOM case,overt neutral,unknown 1+Noun-M8;unknown 1+Noun-M9,NOM case + -ha,accusative,unknown 2+Noun-M8;unknown 2+Noun-M9,,,,"treis2008kambaata[108,84]",AWM
kash1280-1,kash1280,Miscellaneous_condition,ACC marking,accusative;ergative,default,NO_FLAGGING,horizontal;no marking,unknown,,,,,,,gamon1997grammaticalization[235];oswalt1961kashaya[111-114],HT;AWM
klam1254-1,klam1254,Reference,ACC marking,accusative,Noun-high,NO_FLAGGING,no marking,Noun-low,,,,,,,"barker1964klamath[233-235,237-243,262,320,352]",HT
kuna1268-1,kuna1268,Miscellaneous_condition,NO_FLAGGING,no marking,unknown,OBJ marking =si,accusative,default,,,,,,,"angesom2012kunama[43-45,47-48,53-54]",HT
kusu1250-1,kusu1250,Reference,ACC marking,accusative,Noun-high,NO_FLAGGING,no marking,Noun-low,,,,,,,watters2006kusunda[45-52],HT;AWM
kwaz1243-1,kwaz1243,Miscellaneous_condition+Reference,ACC marking,accusative,default+Noun-animate,NO_FLAGGING,no marking,default+Noun-inanimate;unknown+Noun-animate;unknown+Noun-inanimate,,,,,,,voort2004kwaza[105-110],AN
kyon1247-1,kyon1247,Miscellaneous_condition,ACC marking,accusative,default,NO_FLAGGING,no marking,condition 2: topicalization,,,,,,,chang1996korean,HT; AWM
lake1258-1,lake1258,Co-argument_reference+Miscellaneous_condition,ACC marking,incalculable from references.csv: see raw data,1+default;2du+default;2pl+default;2sg+default;2sg+special construction;3+default;Noun+default,NO_FLAGGING,incalculable from references.csv: see raw data,1+special construction;2du+special construction;2pl+special construction;3+special construction;Noun+special construction,,,,,,,"callaghan1963lakemiwok[124,231,234-235,263,276,283,286,91,96-97]",HT
leco1242-1,leco1242,Reference,-ki ACC/DAT,accusative,Noun-high,NO_FLAGGING,no marking,Noun-low,,,,,,,kerke2006object[175-187],MV;NCP
maba1277-1,maba1277,Miscellaneous_condition+Reference,=nú=gù pl P,accusative,unknown condition+Noun-pl-def,NO_FLAGGING,no marking,default+Noun-pl-def;default+Noun-pl-indef;default+Noun-sg-def;default+Noun-sg-indef;unknown condition+Noun-pl-indef;unknown condition+Noun-sg-def;unknown condition+Noun-sg-indef,,,,,,,"weiss2009maba[130-131,174-179]",AN;NCP;DI
manc1252-1,manc1252,Reference,ACC marking,accusative,Noun-high,NO_FLAGGING,no marking,Noun-low,,,,,,,"gorelova2002manchu[163-168,216]",HT; AWM
meny1245-1,meny1245,Reference,ACC case,accusative,Noun-high,NO_FLAGGING,no marking,Noun-low,,,,,,,whitehead2004reference[23-24],AWM
miya1260-1,miya1260,Miscellaneous_condition,NO_FLAGGING,no marking,"non-default, related to topicalization and inclusive marking",accusative u/a,accusative,default,,,,,,,pellard2010ogami[129-144],HT;AWM
mola1238-1,mola1238,Reference,ACC marking,accusative,Noun-animate,NO_FLAGGING,no marking,Noun-inanimate,,,,,,,pharris2006molalla[197-200],AN;AWM
muru1274-1,muru1274,Miscellaneous_condition,ACC marking,accusative,topicalized core agruments,NO_FLAGGING,no marking,default,,,,,,,"wojtylak2017murui[154-155,159,273-274,278,282]",HT
niha1238-1,niha1238,Reference,ACC marking,accusative,Noun-animate,NO_FLAGGING,no marking,Noun-inanimate,,,,,,,"nagaraja2014nihali[224,229,33-34,49-50,82,90]",HT
nort2745-1,nort2745,Co-argument_reference,ACC case,incalculable from references.csv: see raw data,3Pro;Noun,NO_FLAGGING,incalculable from references.csv: see raw data,1Pro;2Pro,,,,,,,"maslova2003kolyma[88-96];schmalz2013yukaghir[166-168,179,299,79-82]",HT;AWM;DI
