ID,Glottocode,Selector_type,Selector_label,Marker_type,Features,Source,Coder,S_references,A_references,P_references,Alignment
abkh1244-a-marking-indexing-marker,abkh1244,indexing marker,A marking,overt,person+number,hewitt1979abkhaz[101-103],AN,NONE,any,NONE,ergative
abkh1244-no-flagging,abkh1244,flagging,NO_FLAGGING,zero,,hewitt1979abkhaz[101],AN,any,any,any,neutral
abkh1244-s-p-marking-indexing-marker,abkh1244,indexing marker,S/P marking,overt,person+number,hewitt1979abkhaz[101-103],AN,any,NONE,any,ergative
abun1252-no-flagging,abun1252,flagging,NO_FLAGGING,zero,,berry1999abun[153],AWM,any,any,any,neutral
abun1252-role-not-marked,abun1252,indexing trigger,ROLE_NOT_MARKED,zero,NA,berry1999abun[25-26],MV; DI; AWM,NONE,NONE,NONE,NA
achu1247-ei-3dus-a-indexing-marker,achu1247,indexing marker,ei- 3duS/A,overt,person+number,deangulo1930achumawi[89],AN;AWM,3du,3du_1du.excl;3du_1du.incl;3du_1pl.excl;3du_1pl.incl;3du_1sg;3du_2du;3du_2pl;3du_2sg;3du_3du;3du_3pl;3du_3sg,NONE,accusative
achu1247-gidz-2nsgs-a-indexing-marker,achu1247,indexing marker,gìdz- 2nsgS/A,overt,person+number,deangulo1930achumawi[89],AN;AWM,2du;2pl,2du_1du.excl;2du_1pl.excl;2du_1sg;2du_3du;2du_3pl;2du_3sg;2pl_1du.excl;2pl_1pl.excl;2pl_1sg;2pl_3du;2pl_3pl;2pl_3sg,NONE,accusative
achu1247-h-1nsgs-a-indexing-marker,achu1247,indexing marker,h- 1nsgS/A,overt,person+number,deangulo1930achumawi[89],AN;AWM,1du.excl;1du.incl;1pl.excl;1pl.incl,1du.excl_2du;1du.excl_2pl;1du.excl_2sg;1du.excl_3du;1du.excl_3pl;1du.excl_3sg;1du.incl_3du;1du.incl_3pl;1du.incl_3sg;1pl.excl_2du;1pl.excl_2pl;1pl.excl_2sg;1pl.excl_3du;1pl.excl_3pl;1pl.excl_3sg;1pl.incl_3du;1pl.incl_3pl;1pl.incl_3sg;1sg_2sg,2sg_1sg,neutral
achu1247-k-2sg-s-a-p-indexing-marker,achu1247,indexing marker,k- 2sg.S/A/P,overt,person+number,deangulo1930achumawi[89],AN;AWM,2sg,2sg_1du.excl;2sg_1pl.excl;2sg_1sg;2sg_3du;2sg_3pl;2sg_3sg,2sg_3sg,neutral
achu1247-ma-2pls-a-and-1pl-incl-s-a-indexing-marker,achu1247,indexing marker,-má 2plS/A and 1pl.incl.S/A,overt,person+number,deangulo1930achumawi[89],AN;AWM,1pl.excl;1pl.incl;2pl,1pl.excl_2du;1pl.excl_2pl;1pl.excl_2sg;1pl.excl_3du;1pl.excl_3pl;1pl.excl_3sg;1pl.incl_3du;1pl.incl_3pl;1pl.incl_3sg;2pl_1du.excl;2pl_1pl.excl;2pl_1sg;2pl_3du;2pl_3pl;2pl_3sg,1sg_3sg,neutral
achu1247-no-flagging,achu1247,flagging,NO_FLAGGING,zero,,deangulo1930achumawi[83-84],AN,any,any,any,neutral
achu1247-nom-marking-flagging,achu1247,flagging,NOM marking,overt,,deangulo1930achumawi[83-84],AN,any,any,NONE,accusative
achu1247-s-1excls-a-p-indexing-marker,achu1247,indexing marker,s- 1exclS/A/P,overt,person+number,deangulo1930achumawi[89],AN;AWM,1du.excl;1pl.excl;1sg,1du.excl_2du;1du.excl_2pl;1du.excl_2sg;1du.excl_3du;1du.excl_3pl;1du.excl_3sg;1pl.excl_2du;1pl.excl_2pl;1pl.excl_2sg;1pl.excl_3du;1pl.excl_3pl;1pl.excl_3sg;1sg_2du;1sg_2pl;1sg_3du;1sg_3pl;1sg_3sg,1sg_2sg;1sg_3sg,neutral
achu1247-tska-2sgp-indexing-marker,achu1247,indexing marker,-tskà 2sgP,overt,person+number,deangulo1930achumawi[89],AN;AWM,NONE,NONE,2sg_1sg;2sg_3sg,accusative
achu1247-u-3pls-a-indexing-marker,achu1247,indexing marker,-ú 3plS/A,overt,person+number,deangulo1930achumawi[89],AN;AWM,3pl,3pl_1du.excl;3pl_1du.incl;3pl_1pl.excl;3pl_1pl.incl;3pl_1sg;3pl_2du;3pl_2pl;3pl_2sg;3pl_3du;3pl_3pl;3pl_3sg,NONE,accusative
achu1247-y-3s-a-indexing-marker,achu1247,indexing marker,y- 3S/A,overt,person,deangulo1930achumawi[89],AN;AWM,3du;3pl;3sg,3du_1du.excl;3du_1du.incl;3du_1pl.excl;3du_1pl.incl;3du_1sg;3du_2du;3du_2pl;3du_2sg;3du_3du;3du_3pl;3du_3sg;3pl_1du.excl;3pl_1du.incl;3pl_1pl.excl;3pl_1pl.incl;3pl_1sg;3pl_2du;3pl_2pl;3pl_2sg;3pl_3du;3pl_3pl;3pl_3sg;3sg_1du.excl;3sg_1du.incl;3sg_1pl.excl;3sg_1pl.incl;3sg_1sg;3sg_2du;3sg_2pl;3sg_3du;3sg_3pl;3sg_3sg,NONE,accusative
