CodeID,ParameterID,Description,icons
no-marking_Align-01,Align-01,no marking,#a1a1a1
accusative_Align-01,Align-01,accusative,#016acb
ergative_Align-01,Align-01,ergative,#e63636
tripartite_Align-01,Align-01,tripartite,#ba713b
horizontal_Align-01,Align-01,horizontal,#b05196
overt-neutral_Align-01,Align-01,overt neutral,#70ac5c
sensitive_Align-01,Align-01,sensitive,#f4cd16
?_Align-01,Align-01,?,
no-marking_Align-01a,Align-01a,no marking,#a1a1a1
accusative_Align-01a,Align-01a,accusative,#016acb
ergative_Align-01a,Align-01a,ergative,#e63636
tripartite_Align-01a,Align-01a,tripartite,#ba713b
horizontal_Align-01a,Align-01a,horizontal,#b05196
overt-neutral_Align-01a,Align-01a,overt neutral,#70ac5c
sensitive_Align-01a,Align-01a,sensitive,#f4cd16
no-majority_Align-01a,Align-01a,no majority,#e0e0e0
?_Align-01a,Align-01a,?,
no-marking_Align-01b,Align-01b,no marking,#a1a1a1
accusative_Align-01b,Align-01b,accusative,#016acb
ergative_Align-01b,Align-01b,ergative,#e63636
tripartite_Align-01b,Align-01b,tripartite,#ba713b
horizontal_Align-01b,Align-01b,horizontal,#b05196
overt-neutral_Align-01b,Align-01b,overt neutral,#70ac5c
sensitive_Align-01b,Align-01b,sensitive,#f4cd16
no-majority_Align-01b,Align-01b,no majority,#e0e0e0
?_Align-01b,Align-01b,?,
no-marking_Align-02,Align-02,no marking,#a1a1a1
accusative_Align-02,Align-02,accusative,#016acb
ergative_Align-02,Align-02,ergative,#e63636
tripartite_Align-02,Align-02,tripartite,#ba713b
horizontal_Align-02,Align-02,horizontal,#b05196
overt-neutral_Align-02,Align-02,overt neutral,#70ac5c
sensitive_Align-02,Align-02,sensitive,#f4cd16
?_Align-02,Align-02,?,
yes_Align-03,Align-03,yes,#016acb
no_Align-03,Align-03,no,#a1a1a1
?_Align-03,Align-03,?,
no-marking_Align-04,Align-04,no marking,#a1a1a1
accusative_Align-04,Align-04,accusative,#016acb
ergative_Align-04,Align-04,ergative,#e63636
tripartite_Align-04,Align-04,tripartite,#ba713b
horizontal_Align-04,Align-04,horizontal,#b05196
overt-neutral_Align-04,Align-04,overt neutral,#70ac5c
sensitive_Align-04,Align-04,sensitive,#f4cd16
NA_Align-04,Align-04,NA,
?_Align-04,Align-04,?,
no-marking_Align-04a,Align-04a,no marking,#a1a1a1
accusative_Align-04a,Align-04a,accusative,#016acb
ergative_Align-04a,Align-04a,ergative,#e63636
tripartite_Align-04a,Align-04a,tripartite,#ba713b
horizontal_Align-04a,Align-04a,horizontal,#b05196
overt-neutral_Align-04a,Align-04a,overt neutral,#70ac5c
sensitive_Align-04a,Align-04a,sensitive,#f4cd16
no-majority_Align-04a,Align-04a,no majority,#e0e0e0
NA_Align-04a,Align-04a,NA,
?_Align-04a,Align-04a,?,
no-marking_Align-04b,Align-04b,no marking,#a1a1a1
accusative_Align-04b,Align-04b,accusative,#016acb
ergative_Align-04b,Align-04b,ergative,#e63636
tripartite_Align-04b,Align-04b,tripartite,#ba713b
horizontal_Align-04b,Align-04b,horizontal,#b05196
overt-neutral_Align-04b,Align-04b,overt neutral,#70ac5c
sensitive_Align-04b,Align-04b,sensitive,#f4cd16
