Glottocode,Name,Macroarea,American_Macroarea,Latitude,Longitude,ISO639P3code,Family_ID,Language_ID,Family_Name
cuit1236,Cuitlatec,North America,Central America,18.1,-100.5,cuy,,,
pure1242,Purepecha,North America,Central America,19.2467,-101.631,tsz,tara1323,,Tarascan
pech1241,Pech,North America,Central America,15.8033,-85.558,pay,chib1249,,Chibchan
misk1235,Mískito,North America,Central America,15.1576,-84.2942,miq,misu1242,,Misumalpan
toll1241,Tol,North America,Central America,14.6686,-87.0372,jic,jica1245,,Jicaquean
sand1278,San Dionisio del Mar Huave,North America,Central America,16.3514,-94.7001,hve,huav1256,,Huavean
xinc1242,Xinca-Chiquimulilla,North America,Central America,14.083301,-90.380259,,xinc1237,,Xincan
hueh1236,Huehuetla Tepehua,North America,Central America,20.6189,-97.9347,tee,toto1251,,Totonacan
yecu1235,Yecuatla Totonac,North America,Central America,20.1765,-96.8741,tlc,toto1251,,Totonacan
huas1242,Huastec,North America,Central America,21.6153,-98.5028,hus,maya1287,,Mayan
olut1240,Oluta Popoluca,North America,Central America,17.8937,-94.8863,plo,mixe1284,,Mixe-Zoque
rama1270,Rama,North America,Central America,11.5007,-83.8571,rma,chib1249,,Chibchan
maya1285,Mayangna,North America,Central America,14.1259,-84.3439,yan,misu1242,,Misumalpan
toto1305,Totontepec Mixe,North America,Central America,17.2157,-96.0179,mto,mixe1284,,Mixe-Zoque
high1276,Highland Popoluca,North America,Central America,18.198,-94.9109,poi,mixe1284,,Mixe-Zoque
teri1250,Teribe,North America,Central America,9.067,-82.9631,tfr,chib1249,,Chibchan
yuca1254,Yucatec Maya,North America,Central America,18.7757,-88.9567,yua,maya1287,,Mayan
gari1256,Garifuna,North America,Central America,15.3529,-86.9091,cab,araw1281,,Arawakan
mali1285,Malinaltepec Me'phaa,North America,Central America,17.2122,-98.6322,tcf,otom1299,,Otomanguean
tete1251,Tetelcingo Nahuatl,North America,Central America,18.8854,-98.893,nhg,utoa1244,,Uto-Aztecan
pipi1250,Pipil,North America,Central America,13.8931,-89.443,ppl,utoa1244,,Uto-Aztecan
popt1235,Popti',North America,Central America,15.6609,-91.6633,jac,maya1287,,Mayan
chol1282,Chol,North America,Central America,17.4897,-92.4698,ctu,maya1287,,Mayan
kich1262,K'iche',North America,Central America,14.5278,-91.1696,quc,maya1287,,Mayan
quer1236,Querétaro Otomi,North America,Central America,20.1396,-100.115,otq,otom1299,,Otomanguean
magd1235,Magdalena Peñasco Mixtec,North America,Central America,17.2837,-97.5413,xtm,otom1299,,Otomanguean
mezo1235,Mezontla Popoloca,North America,Central America,18.1442,-97.5879,pbe,otom1299,,Otomanguean
sier1250,Sierra de Juárez Zapotec,North America,Central America,17.4219,-96.6191,zaa,otom1299,,Otomanguean
high1242,Highland Oaxaca Chontal,North America,Central America,16.1849,-95.7301,chd,tequ1244,,Tequistlatecan
ando1256,Andoque,South America,South America,-0.53751,-72.0869,ano,,,
moch1259,Mochica,South America,South America,-8.01667,-79,omc,,,
kwaz1243,Kwaza,South America,South America,-11.6667,-61.1833,xwa,,,
cams1241,Camsá,South America,South America,1.14537,-76.8931,kbh,,,
cofa1242,Cofán,South America,South America,0.276675,-77.0643,con,,,
mose1249,Mosetén-Chimané,South America,South America,-14.64448,-67.83756,cas,,,
yura1255,Yuracaré,South America,South America,-16.7479,-65.1224,yuz,,,
leco1242,Leco,South America,South America,-15.0092,-67.8818,lec,,,
kari1254,Kariri,South America,South America,-7.434628,-40.487275,,,,
puin1248,Puinave,South America,South America,3.92974,-67.6886,pui,,,
guat1253,Guató,South America,South America,-17.8696,-57.2897,gta,,,
wara1303,Warao,South America,South America,7.50851,-59.3528,wba,,,
pira1253,Pirahã,South America,South America,-6.77713,-61.8167,myp,,,
muni1258,Muniche,South America,South America,-5.7441796,-76.426712,myr,,,
cayu1262,Cayubaba,South America,South America,-13.2482,-65.4822,cyb,,,
iton1250,Itonama,South America,South America,-12.80431,-64.35748,ito,,,
