"ParameterID","FeatureSet","Name","Question","PossibleStates","datatype","Derived"
"Align-01","Align","Noun exemplar alignments","What are the exemplar alignments of nouns?","; separated list of [ no marking:_frequency_ , accusative:_frequency_ , ergative:_frequency_ , overt neutral:_frequency_ , tripartite:_frequency_ , horizontal:_frequency_ , sensitive:_frequency_ ]","""frequency""","FALSE"
"Align-01a","Align","Noun exemplar simple majority","What is the simple majority alignment in exemplar scenarios of nouns?","no marking | accusative | ergative | overt neutral | tripartite | horizontal | sensitive | no majority","""single-valued""","TRUE"
"Align-01b","Align","Noun exemplar simple majority: not local","What is the simple majority alignment in exemplar scenarios for nouns, if local scenarios are excluded?","no marking | accusative | ergative | overt neutral | tripartite | horizontal | sensitive | no majority","""single-valued""","TRUE"
"Align-02","Align","Noun all alignments","What are all the alignments of nouns?","; separated list of [ no marking:_frequency_ , accusative:_frequency_ , ergative:_frequency_ , overt neutral:_frequency_ , tripartite:_frequency_ , horizontal:_frequency_ , sensitive:_frequency_ ]","""frequency""","FALSE"
"Align-03","Align","DOM presence for nouns","Is there Differential Object Marking (DOM) for nouns?","yes | no","""single-valued""","FALSE"
"Align-04","Align","Pronoun exemplar alignments","What are the exemplar alignments of pronouns?","; separated list of [ no marking:_frequency_ , accusative:_frequency_ , ergative:_frequency_ , overt neutral:_frequency_ , tripartite:_frequency_ , horizontal:_frequency_ , sensitive:_frequency_ ] | NA","""frequency""","FALSE"
"Align-04a","Align","Pronoun exemplar simple majority","What is the simple majority alignment in exemplar scenarios of pronouns?","NA | no marking | accusative | ergative | overt neutral | tripartite | horizontal | sensitive | no majority","""single-valued""","TRUE"
"Align-04b","Align","Pronoun exemplar simple majority: not local","What is the simple majority alignment in exemplar scenarios for pronouns, if local scenarios are excluded?","NA | no marking | accusative | ergative | overt neutral | tripartite | horizontal | sensitive | no majority","""single-valued""","TRUE"
"Align-05","Align","Pronoun all alignments","What are all the alignments of pronouns?","; separated list of [ no marking:_frequency_ , accusative:_frequency_ , ergative:_frequency_ , overt neutral:_frequency_ , tripartite:_frequency_ , horizontal:_frequency_ , sensitive:_frequency_ ] | NA","""frequency""","FALSE"
"Align-06","Align","Indexing presence","Is there indexing in the language?","yes | no","""single-valued""","FALSE"
"Align-07","Align","Indexing exemplar alignments","What are the exemplar alignments of indexing?","; separated list of [ no marking:_frequency_ , accusative:_frequency_ , ergative:_frequency_ , overt neutral:_frequency_ , tripartite:_frequency_ , horizontal:_frequency_ , sensitive:_frequency_ ] | NA","""frequency""","FALSE"
"Align-07a","Align","Indexing exemplar simple majority","What is the simple majority alignment in exemplar scenarios of indexing?","NA | no marking | accusative | ergative | overt neutral | tripartite | horizontal | sensitive | no majority","""single-valued""","TRUE"
"Align-07b","Align","Indexing exemplar simple majority: not local","What is the simple majority alignment in exemplar scenarios for indexing, if local scenarios are excluded?","NA | no marking | accusative | ergative | overt neutral | tripartite | horizontal | sensitive | no majority","""single-valued""","TRUE"
"Align-08","Align","Indexing all alignments","What are all the alignments of indexing?","; separated list of [ no marking:_frequency_ , accusative:_frequency_ , ergative:_frequency_ , overt neutral:_frequency_ , tripartite:_frequency_ , horizontal:_frequency_ , sensitive:_frequency_ ] | NA","""frequency""","FALSE"
"Align-09","Align","S ≠ A flagging","Is S ever marked differently from A in flagging?","yes | no","""single-valued""","FALSE"
"Align-10","Align","S ≠ A indexing","Is S ever marked differently from A in indexing, if there is indexing in the language (i.e. if <yes> to Align.06)?","NA | yes | no","""single-valued""","FALSE"
"Align-11","Align","Active/stative S","If S is ever marked differently than A in indexing or flagging (i.e. if <yes> to either Align-09 or Align-10), is there a difference in marking according to an active/stative distinction among monovalent predicates (in either indexing or flagging)?","NA | yes | no","""single-valued""","FALSE"
"Align-12","Align","Split-S","If S is ever marked differently than A in indexing or flagging (i.e. if <yes> to either Align-09 or Align-10), are S arguments of one predicate class coded identically to A arguments of the default transitive class, and S arguments of another predicate class coded identically to P arguments of the default transitive class (Split-S)?","NA | yes | no","""single-valued""","FALSE"
"Align-13","Align","A and P indexed","If there is indexing (i.e. if <yes> to Align-06), can both A and P be indexed?","NA | yes | no","""single-valued""","FALSE"
"Align-14","Align","Portmanteau indexing","If both A and P can be indexed (i.e. if <yes> to Align.13), are there person portmanteaus?","NA | yes | no","""single-valued""","FALSE"
"Align-15","Align","Co-argument sensitivity location","Is there any coargument sensitivity that is not exclusively due to person portmanteaus, and if so where?","no | indexing | flagging | both","""single-valued""","FALSE"
"Align-15a","Align","Co-argument sensitivity presence","Is there coargument sensitivity that is not due exclusively to portmanteaus?","yes | no","""single-valued""","TRUE"
"Align-16","Align","Direct-inverse marking","If co-argument sensitivity exists in indexing and it is not only due to portmanteaus (i.e. not <no> to Align.15), is there direct/inverse marking in some scenarios?","NA | yes | no","""single-valued""","FALSE"
"Appr-01","Appr","Apprehensional morphology","Does the language have apprehensional morphology?","yes | no","""single-valued""","FALSE"
"Appr-02","Appr","Apprehensive","If <yes> to Appr-01, can (at least one of) the apprehensional construction(s) express the apprehensive function?","yes | no | NA","""single-valued""","FALSE"
"Appr-03","Appr","Apprehensive grammatical persons","If <yes> to Appr-02, which grammatical persons are attested in the subject role (S or A) with the apprehensive?","NA | [ 1 , 2 , 3 ]","""multi-valued""","FALSE"
"Appr-04","Appr","Apprehensive 1pl threat/warning","If the Apprehensive is attested with 1st person subject, then what pragmatics are attested?","threat | warning | both | NA","""single-valued""","FALSE"
"Appr-05","Appr","Apprehensional verb types","If <yes> to Appr-02, is the Apprehensive restricted to certain verb types?","no | direct control | other | NA","""single-valued""","FALSE"
"Appr-06","Appr","Precautioning","If <yes> to Appr-01, can (at least one of) the apprehensional construction(s) express the precautioning function?","yes | no | NA","""single-valued""","FALSE"
"Appr-07","Appr","Apprehensional reported speech","If <yes> to Appr-06, does the precautioning construction require reported speech?","yes | no | NA","""single-valued""","FALSE"
"Appr-08","Appr","Lest or negative purposive","If <yes> to Appr-06, can the precautioning construction be used when one cannot avoid the undesirable event, but only its consequences?","yes | no | NA","""single-valued""","FALSE"
"Appr-09","Appr","Fear complementation","If <yes> to Appr-01, can (at least one of) the apprehensional construction(s) express fear-complementation?","yes | no | NA","""single-valued""","FALSE"
"Appr-10","Appr","Timitive","If <yes> to Appr-01, can (at least one of) the apprehensional construction(s) express the timitive function?","yes | no | NA","""single-valued""","FALSE"
"Appr-11","Appr","Timitive agent control","If <yes> to Appr-10, can the main verb of a timitive construction be [-control]?","yes | no | NA","""single-valued""","FALSE"
"Appr-12","Appr","Apprehensional function list","How many apprehensional morphemes are there and how are they distributed over the four functions of the apprehensional domain?","NA | [ a & p & t & f ]","""single-valued""","FALSE"
"Appr-12a","Appr","Apprehensional count","How many apprehensional morphemes are present?","NA | _number_","""integer""","TRUE"
"Appr-12b","Appr","Apprehensional functions","Which functions are covered by the language’s apprehensional morphemes, regardless of whether they are split among multiple morphemes?","NA | ; separated list of [ a, p, t, f ]","""multi-valued""","TRUE"
"Attr-01","Attr","Attributive part of speech","To what lexical category do the stems of nominal attributive modifiers belong, if attributive modification is possible?","adjective | modifier | adverb | noun | verb | predicative only","""single-valued""","FALSE"
"Attr-01a","Attr","Attributive class type","Is the lexical category of the stems of attributive modifiers equivalent to nouns, equivalent to verbs, or does it belong to a part of speech which is dedicated to modification?","noun | verb | modifier pos | NA","""single-valued""","TRUE"
"Attr-02","Attr","Adjective class open","If the answer to Attr-01 is <adjective> or <modifier>, is the adjective/modifier category an open or a closed class?","NA | open | open but | closed","""single-valued""","FALSE"
"Attr-03","Attr","Closed adjective order","If the answer to Attr-02 was <open but>, what is the basic word order for the second class of attributive Adjective and Noun?","NA | adj-n | n-adj | no dominant order","""single-valued""","FALSE"
"Cor-01","Cor","Coronal plosives","How many places of articulation does the language have for coronal plosives?","_number_","""integer""","FALSE"
"Cor-01a","Cor","Coronal plosives = 1 | > 1","Are there 1 or more than 1 distinctions among coronal plosives?","1 | more than 1","""single-valued""","TRUE"
"Cor-01b","Cor","Coronal plosives <= 2 | > 2","Are there up to 2 or more than 2 distinctions among coronal plosives?","up to 2 | more than 2","""single-valued""","TRUE"
"Cor-02","Cor","Sibilant affricates","How many places of articulation does the language have for sibilant affricates?","_number_","""integer""","FALSE"
