"ID","LanguageID","ParameterID","CodeID","Value","Frequency","Remark","Source","Coder"
"abkh1244_Align-01","abkh1244","Align-01","no-marking_Align-01","no marking","1","no marking:any","hewitt1979abkhaz[101]","AN"
"abkh1244_Align-01a","abkh1244","Align-01a","no-marking_Align-01a","no marking","1","no marking:1","hewitt1979abkhaz[101]","AN"
"abkh1244_Align-01b","abkh1244","Align-01b","no-marking_Align-01b","no marking","1","no marking:1","hewitt1979abkhaz[101]","AN"
"abkh1244_Align-02","abkh1244","Align-02","no-marking_Align-02","no marking","1","no marking:any","hewitt1979abkhaz[101]","AN"
"abkh1244_Align-03","abkh1244","Align-03","no_Align-03","no","1","derived","hewitt1979abkhaz[101]","AN"
"abkh1244_Align-04","abkh1244","Align-04","no-marking_Align-04","no marking","1","no marking:any","hewitt1979abkhaz[101]","AN"
"abkh1244_Align-04a","abkh1244","Align-04a","no-marking_Align-04a","no marking","1","no marking:1","hewitt1979abkhaz[101]","AN"
"abkh1244_Align-04b","abkh1244","Align-04b","no-marking_Align-04b","no marking","1","no marking:1","hewitt1979abkhaz[101]","AN"
"abkh1244_Align-05","abkh1244","Align-05","no-marking_Align-05","no marking","1","no marking:any","hewitt1979abkhaz[101]","AN"
"abkh1244_Align-06","abkh1244","Align-06","yes_Align-06","yes","1","derived","hewitt1979abkhaz[101]","AN"
"abkh1244_Align-07","abkh1244","Align-07","ergative_Align-07","ergative","1","ergative:any","hewitt1979abkhaz[101-103]","AN"
"abkh1244_Align-07a","abkh1244","Align-07a","ergative_Align-07a","ergative","1","ergative:1","hewitt1979abkhaz[101-103]","AN"
"abkh1244_Align-07b","abkh1244","Align-07b","ergative_Align-07b","ergative","1","ergative:1","hewitt1979abkhaz[101-103]","AN"
"abkh1244_Align-08","abkh1244","Align-08","ergative_Align-08","ergative","1","ergative:any","hewitt1979abkhaz[101-103]","AN"
"abkh1244_Align-09","abkh1244","Align-09","no_Align-09","no","1","derived","hewitt1979abkhaz[101]","AN"
"abkh1244_Align-10","abkh1244","Align-10","yes_Align-10","yes","1","derived","hewitt1979abkhaz[101-103]","AN"
"abkh1244_Align-11","abkh1244","Align-11","no_Align-11","no","1","","hewitt1979abkhaz[101-103]","AN"
"abkh1244_Align-12","abkh1244","Align-12","no_Align-12","no","1","derived","hewitt1979abkhaz[101-103]","AN"
"abkh1244_Align-13","abkh1244","Align-13","yes_Align-13","yes","1","derived","hewitt1979abkhaz[101]","AN"
"abkh1244_Align-14","abkh1244","Align-14","no_Align-14","no","1","derived","hewitt1979abkhaz[101]","AN"
