ID,Glottocode,Noun_Class,Semantic_Categories,Unpossession_Marker_Type,Remark,Coder,Source,dd_Valency,dd_Semantic_Type,dd_Construction_Type_Simplified,dd_Construction_Type_Generic,dd_Unpossession_Construction
abkh1244_alienable,abkh1244,alienable,default,NA,,TH,hewitt1979abkhaz[97],Optionally possessed,Default,PSSD,MARKER,Noun
abun1252_alienable,abun1252,alienable,default,NA,,TH,berry1999abun[77],Non-possessible,Default,CLAUSE,CLAUSE,Noun
abun1252_inalienable,abun1252,inalienable,body;part,NA,,TH,berry1999abun[77],Optionally possessed,Inalienable,JUXT,JUXT,Noun
achu1247_alienable,achu1247,alienable,default,NA,"Suffix -u on possessor; very few examples, but ’children’ (kindship term?), ’coat’ and ’hat’ are illustrated. No mention of N classes in the grammar.",MV,deangulo1930achumawi[80],Optionally possessed,Default,PSSR,MARKER,Noun
agua1253_alienable,agua1253,alienable,default,NA,Includes a few body terms and the vast majority of kin terms.,TH;NCP,overall2017aguaruna[126],Optionally possessed,Default,PSSR-PSSD,MARKER,Noun
agua1253_inalienable,agua1253,inalienable,body;plant_part;place_relation,NA,"Also some kin terms, and there are some additional words such as ’house’ and landscape elements, such as 'path'. There are also some body parts not included in inalienable1.",TH;NCP,overall2017aguaruna[126],Optionally possessed,Inalienable,PSSR-PSSD,MARKER,Noun
akab1249_inalienable,akab1249,inalienable,body;plant_part;kin,NA,plant_part is based only on one example found.,TH,zamponi2020akabea[259],Optionally possessed,Inalienable,PSSD,MARKER,Noun
akab1249_alienable,akab1249,alienable,default,NA,,TH,zamponi2020akabea[260],Optionally possessed,Default,PSSR,MARKER,Noun
alam1246_alienable,alam1246,alienable,default,NA,"Inalienable possession exists, but cannot be distinguished in nominal possession. Verbal possession only.",TH,bruce1979alamblak[367],Optionally possessed,Default,PSSR-PSSD,MARKER,Noun
aleu1260_alienable,aleu1260,alienable,default,NA,"Kin terms can have other meanings when not possessed, but construction when possessed seems to be identical.",TH,bergsland1997aleut[55],Optionally possessed,Default,PSSR-PSSD,MARKER,Noun
alse1251_alienable,alse1251,alienable,default,NA,"There are some words that only have suffixes instead of circumfixes, the reason is unknown.",TH,"frachtenberg1918alsea[66-68,285]",Optionally possessed,Default,PSSD,MARKER,Noun
amar1274_inalienable,amar1274,inalienable,body;part,3,,TH,vanlindenforthcharakmbut[11],Obligatorily possessed,Inalienable,PSSR,MARKER,MARKER
amar1274_alienable,amar1274,alienable,default,NA,"There is shape semantic classification, but does not seem to change with possession.",TH,vanlindenforthcharakmbut[11],Optionally possessed,Default,PSSR,MARKER,Noun
