"ID","Glottocode","Class_ID","Construction_Form","Construction_Type","Remark","Coder","Source","dd_Construction_Directness","dd_Construction_Type_Simplified","dd_Construction_Type_Generic"
"abkh1244_1","abkh1244","abkh1244_alienable","PSSR [person]-PSSD","PSSD[AGR:PSSR]","","TH","hewitt1979abkhaz[116]","DIRECT","PSSD","MARKER"
"abun1252_2","abun1252","abun1252_alienable","PSSR bi PSSD","CLAUSE","The grammar analyzes bi as a linker and it says it is free from both PSSR and PSSD. However, we have found it functioning as a verb ""have"" in two examples and Abun speakers calque this construction in Indonesian substituting the Indonesian verb ""have"" in the place of bi. So, we have considered this as a CLAUSE without a subordinator.","TH","berry1999abun[77, 81, 209]","INDIRECT","CLAUSE","CLAUSE"
"abun1252_3","abun1252","abun1252_inalienable","PSSR PSSD","JUXT","","TH","berry1999abun[77]","DIRECT","JUXT","JUXT"
"achu1247_4","achu1247","achu1247_alienable","PSSR-u PSSD","PSSR","Suffix -u; very few examples, but ’children’ (kinship term?), ’coat’ and ’hat’ are illustrated.","MV","deangulo1930achumawi[80]","DIRECT","PSSR","MARKER"
"agua1253_5","agua1253","agua1253_alienable","PSSR:GEN PSSD-suffix","PSSR + PSSD + PSSD[AGR:PSSR]","The marker on the possessed can be analyzed as two markers (one indicating possession and an agreement marker) or one (as the grammar does).","NCP","overall2017aguaruna[204]","DIRECT","PSSR-PSSD","MARKER"
"agua1253_6","agua1253","agua1253_inalienable","PSSR:GEN PSSD{vowel change}-suffix","PSSR + PSSD + PSSD[AGR:PSSR]","The agreement suffixes are the same as with the alienable class (if analyzed as two morphemes). The possessed marker here is the vowel change of the stem under the two-morpheme analysis.","NCP","overall2017aguaruna[204]","DIRECT","PSSR-PSSD","MARKER"
"akab1249_7","akab1249","akab1249_inalienable","PSSR person-PSSD","PSSD[AGR:PSSR]","","TH","zamponi2020akabea[259]","DIRECT","PSSD","MARKER"
"akab1249_8","akab1249","akab1249_alienable","PSSR l=Ø-ia PSSD","PSSR[AGR:PSSR]","l=Ø-ia is def=3sg-POSS","TH","zamponi2020akabea[260]","DIRECT","PSSR","MARKER"
"alam1246_9","alam1246","alam1246_alienable","PSSR-[GENsg/pl] PSSD-[person]","PSSR + PSSD[AGR:PSSR]","There is also number marking of the PSSR on the PSSR (this outcome is not listed in the coding key).","TH","bruce1979alamblak[369]","DIRECT","PSSR-PSSD","MARKER"
"aleu1260_10","aleu1260","aleu1260_alienable","PSSR[rel.case] PSSD-[POSS(case/num)]","PSSR[AGR:PSSR] + PSSD[AGR:PSSD]","","TH","bergsland1997aleut[351]","DIRECT","PSSR-PSSD","MARKER"
"alse1251_11","alse1251","alse1251_alienable","PSSR ts-PSSD-k’","PSSD[AGR:PSSR]","","TH","frachtenberg1918alsea[395]","DIRECT","PSSD","MARKER"
"amar1274_12","amar1274","amar1274_alienable;amar1274_inalienable","PSSR-[GEN] PSSD","PSSR","There may be a difference in stress patterning for monosyllabic inalienables.","TH","chavez1984amarakaeri[442];tripp1995diccionario[195];vanlinden2021pc","DIRECT","PSSR","MARKER"
"amar1274_13","amar1274","amar1274_inalienable","nominalizer-N","UNPOSSESSION","These, in turn, can be alienably possessed again.","TH","vanlinden2020pc",,,
"ando1256_14","ando1256","ando1256_relative","PSSR poss.rel-PSSD","PSSD[AGR:PSSR]","The PSSR can be omitted for pronominal possession. The possessive paradigm for the relative nouns is the same as the possessive paradigm for absolute nouns, except for a different form for the 1sg, and a high tone on the prefixes of 1st and 2nd persons.","NCP","landaburu1979andoke[151-153, 177-178, 132-134, 78, 103]","DIRECT","PSSD","MARKER"
"ando1256_15","ando1256","ando1256_absolute","PSSR poss-PSSD","PSSD[AGR:PSSR]","The PSSR can be omitted for pronominal possession.","NCP","landaburu1979andoke[151-153, 177-178, 132-134, 78, 103]","DIRECT","PSSD","MARKER"
"ando1256_16","ando1256","ando1256_relative","ĩ-N","UNPOSSESSION","The ĩ is a SPECIAL_MARKER of unpossession, part of the 'r' paradigm.","NCP","landaburu1979andoke[151-153, 177-178, 132-134, 78, 103]",,,
"apur1254_17","apur1254","apur1254_property;apur1254_kinship;apur1254_alienable;apur1254_body","PSSR PSSD","JUXT","This is a juxtaposition construction which is accessible to nouns and free pronouns for the possessor.","TH;NCP","facundes2000apurina[150-215, 382, 453]","DIRECT","JUXT","JUXT"
"apur1254_18","apur1254","apur1254_classifiers;apur1254_property;apur1254_kinship;apur1254_alienable","pers-PSSD","PRO_MARKER","The person marker agrees in person and number with the possessor. This is the only possession construction available to classifiers, since when they occur with an overt noun in the place of the possessor, the result is a compound noun according to the grammar, with a greater degree of phonological fusion and sometimes unexpected semantics.","NCP","facundes2000apurina[168-175, 382, 453]","DIRECT","MARKER","MARKER"
"apur1254_19","apur1254","apur1254_ne-nouns","PSSR PSSD-ne","PSSD","","NCP","facundes2000apurina[150-215, 382, 453]","DIRECT","PSSD","MARKER"
"apur1254_20","apur1254","apur1254_re-nouns","PSSR PSSD-re1","PSSD","The suffix -re1 is analyzed as a different but homophonous suffix from -re2 in the grammar.","NCP","facundes2000apurina[150-215, 382, 453]","DIRECT","PSSD","MARKER"
"apur1254_21","apur1254","apur1254_reru-nouns","PSSR PSSD-re2","PSSD","The suffix -re2 is analyzed as a different but homophonous suffix to -re1 in the grammar.","TH","facundes2000apurina[150-215, 382, 453]","DIRECT","PSSD","MARKER"
"apur1254_22","apur1254","apur1254_te-nouns","PSSR PSSD-te","PSSD","","TH;NCP","facundes2000apurina[150-215, 382, 453]","DIRECT","PSSD","MARKER"
