"ID","Glottocode","Language","Forms","SG ~ PL","Meaning","Semantic_Category","Semantic_Subcategory","Bipartite_vs_Tripartite","Alternation_Type","Handling_Shape","Comment"
1,"akab1249","Akabea","ab-päre ~ tar-mâli","SG ~ PL","chastise","?",,"bipartite","suppletion","no",
2,"akab1249","Akabea","ar-baŋ ~ ar-baŋa","SG ~ PL","dig","?",,"bipartite","suppletion","no",
3,"alse1251","Alsea-Yaquina","wustiin ~ tians","SG ~ PL","agree","?",,"bipartite","suppletion","no",
4,"buru1296","Burushaski","-phús- ~ -phúša-","SG ~ PL","tie up","?",,"bipartite","regular",,
5,"buru1296","Burushaski","(-)híl- ~ (-)hílja-","SG ~ PL","soak","?",,"bipartite","regular",,
6,"buru1296","Burushaski","(ba)hált ~ (ba)hálča","SG ~ PL","wash","?",,"bipartite","regular",,
7,"buru1296","Burushaski","bú- ~ búya","SG ~ PL","dry","?",,"bipartite","regular",,
8,"buru1296","Burushaski","d ́-k(h)út ~ d ́-k(h)úča","SG ~ PL","lose weight","?",,"bipartite","regular",,
9,"buru1296","Burushaski","d-ší- ~ d-ša","SG ~ PL","stop","?",,"bipartite","regular",,"also refrain"
10,"buru1296","Burushaski","de-phérc ~ de-phérča (y); d ́--phérc ~ d ́-phérča (x)","SG ~ PL","remove/uproot","?",,"bipartite","regular",,
11,"buru1296","Burushaski","dórgin- ~ dórgia-","SG ~ PL","quarrel/argue","?",,"bipartite","regular",,
12,"buru1296","Burushaski","du-khát ~ du-kháča (y); d ́-khát ~ d ̊ -kháča (hx)","SG ~ PL","trouble oneself over something","?",,"bipartite","regular",,
13,"buru1296","Burushaski","du-pháq ~ du-pháqia-","SG ~ PL","card","?",,"bipartite","regular",,
14,"buru1296","Burushaski","ɣórc/ɣurc ~ ɣórča","SG ~ PL","sink","?",,"bipartite","regular",,
15,"buru1296","Burushaski","khúrut ~ khúruča","SG ~ PL","open (a box)","?",,"bipartite","regular",,
16,"buru1296","Burushaski","múrut ~ múruča","SG ~ PL","handle/stroke","?",,"bipartite","regular",,
17,"cadd1256","Caddo","ya'ah ~ yábah","SG ~ PL","be","?",,"bipartite","suppletion","no",
18,"cahu1264","Cahuilla","chút ~ chúshtan","INDIVIDUAL ~ COLLECTIVE","light a fire","?",,"bipartite","suppletion","no",
19,"coah1252","Coahuilteco","-amī ~ -am-ā¢-a","SG ~ PL","have","?",,"bipartite","suppletion","no","-ā¢- infix plus suppletion"
20,"coah1252","Coahuilteco","-hāwx(u) ~ -h-ā¢-awx(u)","SG ~ PL","be called","?",,"bipartite","regular",,"-ā¢- infix"
21,"coah1252","Coahuilteco","-hōy ~ -h-aw-āy","SG ~ PL","do","?",,"bipartite","suppletion","no","-wa/aw- infix plus suppletion; also make"
22,"coah1252","Coahuilteco","-kˀāw ~ xekˀ-ā¢-awam-ke","SG ~ PL","marry","?",,"bipartite","suppletion","no","-ā¢- infix plus -ke suffix plus suppletion"
23,"coah1252","Coahuilteco","-māko ~ -m-ak-āko","SG ~ PL","think","?",,"bipartite","regular",,"-ak- infix"
24,"coah1252","Coahuilteco","-pām ~ -ap-ak-ām","SG ~ PL","have a child, child","?",,"bipartite","regular",,"-ak- infix"
25,"coah1252","Coahuilteco","-šap'ān ~ -šap'ā-wa-no","SG ~ PL","good, cleanse","?",,"bipartite","regular",,"-wa/aw- infix"
26,"coah1252","Coahuilteco","-spāmo ~ -spā-wa-mō","SG ~ PL","believe","?",,"bipartite","regular",,"-wa/aw- infix"
27,"coah1252","Coahuilteco","-tāy ~ -t-aw-āy","SG ~ PL","mother","?",,"bipartite","regular",,"-wa/aw- infix"
28,"coah1252","Coahuilteco","-xawū ~ x-ak-ōymo","SG ~ PL","be joined","?",,"bipartite","suppletion","no","-ak- infix plus suppletion"
29,"coah1252","Coahuilteco","-xāy ~ -x-ak-āy","SG ~ PL","end","?",,"bipartite","regular",,"-ak- infix"
30,"coah1252","Coahuilteco","-xō ~ -x-ā¢-o","SG ~ PL","know","?",,"bipartite","regular",,"-ā¢- infix"
31,"coah1252","Coahuilteco","? ~ k-ā¢-owō","SG ~ PL","pay for","?",,"bipartite","regular",,"-ā¢- infix"
32,"coah1252","Coahuilteco","? ~ k'm-āk-ōx(sāwx)","SG ~ PL","kneel","?",,"bipartite","regular",,"-ak- infix"
33,"coah1252","Coahuilteco","? ~ s(?)k'-ā¢-āwxt'am","SG ~ PL","dream","?",,"bipartite","regular",,"-ā¢- infix"
34,"coah1252","Coahuilteco","p'ānmam ~ p'ā-ke-nmam","SG ~ PL","pass (time)","?",,"bipartite","regular",,"-ke- infix"
35,"coma1245","Comanche","anitʉ ~ aanearʉ","SG ~ PL","give up exhausted","?",,"bipartite","suppletion","no","also die in an accident"
36,"coma1245","Comanche","haakarʉ ~ hakaakarʉ","SG ~ PL","find room for","?",,"bipartite","regular",,"reduplication"
37,"coma1245","Comanche","hanitʉ ~ hanikatʉ","SG ~ PL","fix","?",,"bipartite","regular",,"infixation; also do, repair"
38,"coma1245","Comanche","kuʔnikakʉrʉ ~ kuwekwakʉrʉ (object)","SG ~ PL","rope someone","?",,"bipartite","suppletion","no","specifically while moving (lasso)"
39,"coma1245","Comanche","kʉhkwitsitʉ ~ kʉhtoroki","SG ~ PL","grit teeth","?",,"bipartite","suppletion","no","also clack the teeth"
40,"coma1245","Comanche","nohitekwarʉ ~ kaasuarʉ","SG ~ PL","intend to deceive or cheat","?",,"bipartite","suppletion","no","also pretend, kid around"
41,"coma1245","Comanche","pihkarʉ ~ pipikutʉ","SG ~ PL","drum","?",,"bipartite","suppletion","no","also ring a bell"
42,"coma1245","Comanche","tsahturerʉ ~ tsahtunetsʉtʉ","SG ~ PL","stretch","?",,"bipartite","suppletion","no","also pull with full strength"
43,"coma1245","Comanche","tʉbinarʉ (sg object) ~ tʉrʉbinitu (pl object)","SG ~ PL","question someone","?",,"bipartite","regular",,"reduplication"
44,"cree1270","Creek","a-kaɬp-itá ~ a-kaɬkap-íta","SG ~ PL","dry up (of a creek, etc)","?",,"bipartite","regular",,"C1V1 reduplication"
45,"cree1270","Creek","a-ló.fk-i: ~ a-lo:flok-i: (‘smeared on in more than one place’)","SG ~ PL","smeared on","?",,"bipartite","regular",,"C1V1 reduplication"
46,"cree1270","Creek","anataks-itá ~ anatasnak-íta","SG ~ PL","look up","?",,"bipartite","regular",,"C1V1 reduplication"
47,"cree1270","Creek","nika:tt-itá ~ nika:tni:y-itá","SG ~ PL","nod once","?",,"bipartite","regular",,"C1V1 reduplication"
48,"cree1270","Creek","som-iceyc-itá ~ som-hoy-c-itá","SG ~ PL","lose somebody","?",,"bipartite","regular",,"ho(y)/ic insertion"
49,"cree1270","Creek","som-k-itá ~ som-ho-k-itá ~ som-ic-itá","SG ~ DU ~ PL","be lost","?",,"tripartite","regular",,"ho(y)/ic insertion"
50,"cree1270","Creek","teyy-itá ~ tey-hoy-íta","SG ~ PL","ache","?",,"bipartite","regular",,"ho(y)/ic insertion"
51,"daga1275","Daga","wabor ~ bor","SG ~ PL","close","?",,"bipartite","regular",,"there is an unknown number of additional verbs that take these plural prefixes"
52,"gavi1246","Gavião Do Jiparaná","mága ~ mákiì","SG ~ PL","make","?",,"bipartite","suppletion","no",
53,"gras1249","Grass Koiari","voi(nu) ~ vahei","SG ~ PL","become/be","?",,"bipartite","suppletion","no",
54,"guah1255","Guahibo","küta ~ küba","SG ~ PL","tie","?",,"bipartite","regular",,"ta ~ ba (attacher), but also semelfactive  ~ iterative, and perfective ~ imperfective (queixalos1998sikuani:162)"
55,"guah1255","Guahibo","mataya-ta ~ mataya-ba","SG ~ PL","hide someone","?",,"bipartite","regular",,"ta ~ ba (cacher)"
56,"guah1255","Guahibo","nakopa-ta ~ nakopa-ba","SG ~ PL","be too much","?",,"bipartite","regular",,"ta ~ ba (être en trop)"
57,"guah1255","Guahibo","namatoakota ~ namatakoba","SG ~ PL","incorporate (MID)","?",,"bipartite","regular",,"ta ~ ba (s'incorporer), but also semelfactive  ~ iterative, and perfective ~ imperfective (queixalos1998sikuani:162)"
