"Feature","Language","Glottocode","WarningText","Comment","Coder"
"NounPoss","Panare","enap1235","Unique construction for enap1235_inalienable-0-0 not found in constructions.","","AM"
"NounPoss","Panare","enap1235","Unique construction for enap1235_inalienable-e-0 not found in constructions.","","AM"
"NounPoss","Panare","enap1235","Unique construction for enap1235_inalienable-e-to not found in constructions.","","AM"
"NounPoss","Panare","enap1235","Unique construction for enap1235_inalienable-0-to not found in constructions.","","AM"
"NounPoss","Ikpeng","ikpe1245","Unique construction for ikpe1245_alienable-n-0 not found in constructions.","","AM;NCP;DI"
"NounPoss","Ikpeng","ikpe1245","Unique construction for ikpe1245_inalienable-n-ngo not found in constructions.","","AM;NCP;DI"
"NounPoss","Ikpeng","ikpe1245","Unique construction for ikpe1245_inalienable-n-null not found in constructions.","","AM;NCP;DI"
"NounPoss","Ikpeng","ikpe1245","Unique construction for ikpe1245_alienable-0-0 not found in constructions.","","AM;NCP;DI"
"NounPoss","Ikpeng","ikpe1245","Unique construction for ikpe1245_inalienable-0-ngo not found in constructions.","","AM;NCP;DI"
"NounPoss","Ikpeng","ikpe1245","Unique construction for ikpe1245_inalienable-0-null not found in constructions.","","AM;NCP;DI"
"NounPoss","Kamu","kamu1258","WO-03 claims the order is PSSR-PSSD, but the orders found in NounPoss are  pssd-pssr","","AM"
"NounPoss","Kuikúro-Kalapálo","kuik1246","Unique construction for kuik1246_alienable-0 not found in constructions.","","AM"
"NounPoss","Kuikúro-Kalapálo","kuik1246","Unique construction for kuik1246_alienable-gV not found in constructions.","","AM"
"NounPoss","Kuikúro-Kalapálo","kuik1246","Unique construction for kuik1246_alienable-tsV not found in constructions.","","AM"
"NounPoss","Martuthunira","mart1255","WO-03 claims the order is PSSD-PSSR, but the only orders found in NounPoss are  pssr-pssd","","AM"
"NounPoss","Yau-Nungon","yaum1237","Unique construction for yaum1237_inalienable-no not found in constructions.","","AM"
"NounPoss","Cherokee","cher1273","Unique construction for cher1273_SetANull not found in constructions.","","DI;TH"
"NounPoss","Cherokee","cher1273","Unique construction for cher1273_SetBNull not found in constructions.","","DI;TH"
